Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
cortexode,208428,lh,pial,5.026737997215782,0.46586235044816915,0.9317247008963383,319,178542,cortexode_208428_CA_lh_pial_distanceMesh.vtk
cortexode,205725,lh,pial,4.5654764720018015,0.49172749758408907,0.9834549951681781,140,189243,cortexode_205725_CA_lh_pial_distanceMesh.vtk
cortexode,204420,lh,pial,3.4830603810651315,0.4692238317270181,0.9384476634540362,244,195443,cortexode_204420_CA_lh_pial_distanceMesh.vtk
cortexode,204521,lh,pial,4.593508677593569,0.4636674690188538,0.9273349380377076,265,199965,cortexode_204521_CA_lh_pial_distanceMesh.vtk
cortexode,208024,lh,pial,3.3002828253652847,0.4695406669242924,0.9390813338485848,169,198879,cortexode_208024_CA_lh_pial_distanceMesh.vtk
cortexode,201414,lh,pial,7.9539383664876295,0.49734708080543777,0.9946941616108755,203,215514,cortexode_201414_CA_lh_pial_distanceMesh.vtk
cortexode,224022,lh,pial,4.31866086769077,0.4603065702456332,0.9206131404912664,168,194428,cortexode_224022_CA_lh_pial_distanceMesh.vtk
cortexode,211316,lh,pial,5.571449511143538,0.4867354675095005,0.973470935019001,350,202189,cortexode_211316_CA_lh_pial_distanceMesh.vtk
cortexode,201818,lh,pial,4.9012473328614625,0.46207937039396535,0.9241587407879307,375,205295,cortexode_201818_CA_lh_pial_distanceMesh.vtk
cortexode,289555,lh,pial,6.332238436008041,0.4654419240235359,0.9308838480470718,255,187976,cortexode_289555_CA_lh_pial_distanceMesh.vtk
cortexode,210415,lh,pial,5.6554245146804245,0.46907770229411994,0.9381554045882399,392,199559,cortexode_210415_CA_lh_pial_distanceMesh.vtk
cortexode,297655,lh,pial,5.425020206421749,0.5079774236210255,1.015954847242051,149,187502,cortexode_297655_CA_lh_pial_distanceMesh.vtk
