Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
cortexode,208428,lh,pial,4.742416904375022,0.45189695359825877,0.9037939071965175,1331,178507,cortexode_208428_CA_lh_pial_distanceMesh.vtk
cortexode,297655,lh,pial,5.3819243117029245,0.46377245099079434,0.9275449019815887,373,187578,cortexode_297655_CA_lh_pial_distanceMesh.vtk
cortexode,289555,lh,pial,6.55255861970897,0.45026270717639344,0.9005254143527869,791,187952,cortexode_289555_CA_lh_pial_distanceMesh.vtk
cortexode,224022,lh,pial,4.74646171285173,0.45523194444415216,0.9104638888883043,831,194356,cortexode_224022_CA_lh_pial_distanceMesh.vtk
cortexode,293748,lh,pial,5.942951252092135,0.43074360147726676,0.8614872029545335,940,194938,cortexode_293748_CA_lh_pial_distanceMesh.vtk
cortexode,208024,lh,pial,3.4232788831872627,0.4517946525759897,0.9035893051519794,1312,198789,cortexode_208024_CA_lh_pial_distanceMesh.vtk
cortexode,210415,lh,pial,5.894694558860454,0.45827471338518877,0.9165494267703775,1769,199557,cortexode_210415_CA_lh_pial_distanceMesh.vtk
cortexode,255639,lh,pial,5.172493133697486,0.4612447844651084,0.9224895689302168,578,203066,cortexode_255639_CA_lh_pial_distanceMesh.vtk
cortexode,209834,lh,pial,5.140529152891955,0.45089343734722076,0.9017868746944415,1495,202741,cortexode_209834_CA_lh_pial_distanceMesh.vtk
cortexode,211316,lh,pial,5.4631908443055845,0.478505908412319,0.957011816824638,854,202145,cortexode_211316_CA_lh_pial_distanceMesh.vtk
cortexode,212318,lh,pial,4.562393689098458,0.4420103828415877,0.8840207656831754,321,209243,cortexode_212318_CA_lh_pial_distanceMesh.vtk
cortexode,209329,lh,pial,4.040934589174228,0.4509686134262366,0.9019372268524732,1670,205779,cortexode_209329_CA_lh_pial_distanceMesh.vtk
cortexode,280739,lh,pial,5.290530686307116,0.439610230031647,0.879220460063294,730,206883,cortexode_280739_CA_lh_pial_distanceMesh.vtk
cortexode,221319,lh,pial,5.435022990423637,0.44858230793856735,0.8971646158771347,541,205890,cortexode_221319_CA_lh_pial_distanceMesh.vtk
cortexode,214019,lh,pial,4.795901783454677,0.440801101461326,0.881602202922652,825,211180,cortexode_214019_CA_lh_pial_distanceMesh.vtk
cortexode,245333,lh,pial,5.8441135651798035,0.4389861848817936,0.8779723697635872,1378,209967,cortexode_245333_CA_lh_pial_distanceMesh.vtk
cortexode,250932,lh,pial,4.569165610518783,0.43910017644753196,0.8782003528950639,963,210902,cortexode_250932_CA_lh_pial_distanceMesh.vtk
cortexode,250427,lh,pial,3.9690644925256033,0.4488621866680549,0.8977243733361098,919,212893,cortexode_250427_CA_lh_pial_distanceMesh.vtk
cortexode,221218,lh,pial,6.207242739535305,0.44021019818766083,0.8804203963753217,1538,212469,cortexode_221218_CA_lh_pial_distanceMesh.vtk
cortexode,212217,lh,pial,3.6308977063039505,0.43900122301162986,0.8780024460232597,1318,212702,cortexode_212217_CA_lh_pial_distanceMesh.vtk
cortexode,231928,lh,pial,5.640217608379494,0.43438218156689223,0.8687643631337845,567,215653,cortexode_231928_CA_lh_pial_distanceMesh.vtk
cortexode,208226,lh,pial,4.485379987002688,0.43363245670722006,0.8672649134144401,445,218655,cortexode_208226_CA_lh_pial_distanceMesh.vtk
cortexode,246133,lh,pial,4.87052416791121,0.4443427810943914,0.8886855621887828,680,209918,cortexode_246133_CA_lh_pial_distanceMesh.vtk
cortexode,256540,lh,pial,4.825331946541763,0.44276389684686207,0.8855277936937241,963,215247,cortexode_256540_CA_lh_pial_distanceMesh.vtk
cortexode,295146,lh,pial,4.995950257161416,0.447006732020983,0.894013464041966,753,215288,cortexode_295146_CA_lh_pial_distanceMesh.vtk
cortexode,217429,lh,pial,5.092494922399102,0.45151613791709877,0.9030322758341975,1718,216001,cortexode_217429_CA_lh_pial_distanceMesh.vtk
cortexode,228434,lh,pial,4.8822523655664725,0.46921870774759294,0.9384374154951859,358,211941,cortexode_228434_CA_lh_pial_distanceMesh.vtk
cortexode,275645,lh,pial,4.510239920186881,0.4330925002391601,0.8661850004783203,1198,215983,cortexode_275645_CA_lh_pial_distanceMesh.vtk
cortexode,237334,lh,pial,6.276232764524913,0.44492146926270604,0.8898429385254121,513,214631,cortexode_237334_CA_lh_pial_distanceMesh.vtk
cortexode,209127,lh,pial,6.365495365892484,0.43717781089467,0.87435562178934,1650,218938,cortexode_209127_CA_lh_pial_distanceMesh.vtk
cortexode,214221,lh,pial,5.456925211199009,0.4548478396634399,0.9096956793268798,460,214949,cortexode_214221_CA_lh_pial_distanceMesh.vtk
cortexode,285345,lh,pial,5.080468412284496,0.443054439414598,0.886108878829196,555,213612,cortexode_285345_CA_lh_pial_distanceMesh.vtk
cortexode,217126,lh,pial,6.679728945093641,0.4490012508347598,0.8980025016695196,1025,225227,cortexode_217126_CA_lh_pial_distanceMesh.vtk
cortexode,249947,lh,pial,5.009256991503632,0.4530933724929822,0.9061867449859644,1893,220595,cortexode_249947_CA_lh_pial_distanceMesh.vtk
cortexode,212116,lh,pial,4.766715711946369,0.4528072846141723,0.9056145692283446,771,224499,cortexode_212116_CA_lh_pial_distanceMesh.vtk
cortexode,211417,lh,pial,4.2160513875213015,0.4301555389954772,0.8603110779909544,1039,225891,cortexode_211417_CA_lh_pial_distanceMesh.vtk
cortexode,212419,lh,pial,4.4094987975719535,0.4306257128069113,0.8612514256138226,1291,228364,cortexode_212419_CA_lh_pial_distanceMesh.vtk
cortexode,211922,lh,pial,4.98205157984689,0.4341730997758909,0.8683461995517818,839,226613,cortexode_211922_CA_lh_pial_distanceMesh.vtk
cortexode,209228,lh,pial,4.244645595060752,0.4352676515359403,0.8705353030718807,958,235579,cortexode_209228_CA_lh_pial_distanceMesh.vtk
cortexode,284646,lh,pial,4.8413136972725335,0.4492380250053284,0.8984760500106568,1091,231249,cortexode_284646_CA_lh_pial_distanceMesh.vtk
cortexode,208125,lh,pial,5.8800411756847115,0.429997191900064,0.859994383800128,480,236896,cortexode_208125_CA_lh_pial_distanceMesh.vtk
cortexode,268850,lh,pial,5.553082337435372,0.4397508505562619,0.8795017011125238,989,232032,cortexode_268850_CA_lh_pial_distanceMesh.vtk
cortexode,280941,lh,pial,6.6621395891358555,0.4316019277993265,0.863203855598653,509,233556,cortexode_280941_CA_lh_pial_distanceMesh.vtk
cortexode,236130,lh,pial,4.823318848562362,0.4326784471322356,0.8653568942644712,1787,232468,cortexode_236130_CA_lh_pial_distanceMesh.vtk
cortexode,239944,lh,pial,7.539509641885144,0.42950006558523474,0.8590001311704695,1112,236681,cortexode_239944_CA_lh_pial_distanceMesh.vtk
cortexode,227432,lh,pial,6.5935229385617395,0.4541579551245763,0.9083159102491526,623,231786,cortexode_227432_CA_lh_pial_distanceMesh.vtk
cortexode,248339,lh,pial,3.6801979498408675,0.4500802900157318,0.9001605800314636,715,238970,cortexode_248339_CA_lh_pial_distanceMesh.vtk
