Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
corticalflow++,297655,lh,pial,3.5217084859178436,0.4351195544462061,0.8702391088924122,8,679401,corticalflow++_297655_CA_lh_pial_distanceMesh.vtk
corticalflow++,246133,lh,pial,3.9923450123627613,0.4070209980498499,0.8140419960996998,100,682384,corticalflow++_246133_CA_lh_pial_distanceMesh.vtk
corticalflow++,250932,lh,pial,5.343237962604362,0.4072094133634111,0.8144188267268222,105,683993,corticalflow++_250932_CA_lh_pial_distanceMesh.vtk
corticalflow++,285446,lh,pial,4.620483758691801,0.41717805178090706,0.8343561035618141,242,683442,corticalflow++_285446_CA_lh_pial_distanceMesh.vtk
corticalflow++,290136,lh,pial,4.512428436988594,0.4303275834009282,0.8606551668018564,251,688429,corticalflow++_290136_CA_lh_pial_distanceMesh.vtk
corticalflow++,256540,lh,pial,5.111478293565588,0.4070877917924285,0.814175583584857,156,683579,corticalflow++_256540_CA_lh_pial_distanceMesh.vtk
corticalflow++,295146,lh,pial,4.268792482754796,0.4153710962661152,0.8307421925322304,88,687511,corticalflow++_295146_CA_lh_pial_distanceMesh.vtk
corticalflow++,298051,lh,pial,7.000187030507643,0.41769330401716687,0.8353866080343337,127,689659,corticalflow++_298051_CA_lh_pial_distanceMesh.vtk
corticalflow++,286650,lh,pial,5.002184224270124,0.44074302853046243,0.8814860570609249,19,686671,corticalflow++_286650_CA_lh_pial_distanceMesh.vtk
corticalflow++,204521,lh,pial,4.267024180682461,0.40582644560088066,0.8116528912017613,185,681582,corticalflow++_204521_CA_lh_pial_distanceMesh.vtk
corticalflow++,209228,lh,pial,4.010863225371808,0.41739519238989253,0.8347903847797851,93,679724,corticalflow++_209228_CA_lh_pial_distanceMesh.vtk
corticalflow++,289555,lh,pial,7.841628198027841,0.4052905782007132,0.8105811564014264,164,688707,corticalflow++_289555_CA_lh_pial_distanceMesh.vtk
corticalflow++,210617,lh,pial,5.9261770658038735,0.43013953356335544,0.8602790671267109,209,679412,corticalflow++_210617_CA_lh_pial_distanceMesh.vtk
corticalflow++,245333,lh,pial,3.1094728784856684,0.3999311331675338,0.7998622663350676,199,682282,corticalflow++_245333_CA_lh_pial_distanceMesh.vtk
corticalflow++,227432,lh,pial,4.9836419917504395,0.43026230699283563,0.8605246139856713,35,679234,corticalflow++_227432_CA_lh_pial_distanceMesh.vtk
corticalflow++,285345,lh,pial,4.142737530653365,0.4163947535785221,0.8327895071570443,51,688118,corticalflow++_285345_CA_lh_pial_distanceMesh.vtk
corticalflow++,212318,lh,pial,5.505940421217293,0.40759483575476,0.81518967150952,28,683360,corticalflow++_212318_CA_lh_pial_distanceMesh.vtk
corticalflow++,239944,lh,pial,7.256020521258273,0.40596891139752667,0.8119378227950533,132,685845,corticalflow++_239944_CA_lh_pial_distanceMesh.vtk
corticalflow++,204420,lh,pial,3.6461862505908718,0.4085183973464882,0.8170367946929764,246,682507,corticalflow++_204420_CA_lh_pial_distanceMesh.vtk
