Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
corticalflow,209127,lh,pial,5.568911980076089,0.4373266904240939,0.8746533808481878,19659,777676,corticalflow_209127_CA_lh_pial_distanceMesh.vtk
corticalflow,213421,lh,pial,4.917472559831771,0.46013435786443724,0.9202687157288745,18285,783790,corticalflow_213421_CA_lh_pial_distanceMesh.vtk
corticalflow,212318,lh,pial,6.354822527500448,0.45731899240963314,0.9146379848192663,11993,780204,corticalflow_212318_CA_lh_pial_distanceMesh.vtk
corticalflow,212015,lh,pial,5.865348685462472,0.4846560328052888,0.9693120656105776,25038,779350,corticalflow_212015_CA_lh_pial_distanceMesh.vtk
corticalflow,214221,lh,pial,4.750320986585316,0.4711812549529659,0.9423625099059318,20658,783271,corticalflow_214221_CA_lh_pial_distanceMesh.vtk
corticalflow,208125,lh,pial,6.9835871266879135,0.44901796303524266,0.8980359260704853,18044,782455,corticalflow_208125_CA_lh_pial_distanceMesh.vtk
corticalflow,212217,lh,pial,4.446849622293782,0.45225730780620066,0.9045146156124013,24263,778998,corticalflow_212217_CA_lh_pial_distanceMesh.vtk
corticalflow,208226,lh,pial,4.449045754455668,0.4362981707833707,0.8725963415667414,17059,771865,corticalflow_208226_CA_lh_pial_distanceMesh.vtk
corticalflow,214524,lh,pial,6.231103692682156,0.46637237530364795,0.9327447506072959,17319,783654,corticalflow_214524_CA_lh_pial_distanceMesh.vtk
corticalflow,211114,lh,pial,4.485953708563869,0.47383240512977864,0.9476648102595573,19706,782936,corticalflow_211114_CA_lh_pial_distanceMesh.vtk
corticalflow,211720,lh,pial,6.3364814452096505,0.512567949383581,1.025135898767162,21080,788011,corticalflow_211720_CA_lh_pial_distanceMesh.vtk
corticalflow,207426,lh,pial,6.039366452272158,0.456055838495359,0.912111676990718,11113,785008,corticalflow_207426_CA_lh_pial_distanceMesh.vtk
corticalflow,227432,lh,pial,5.267441809256899,0.46331769407318857,0.9266353881463771,13390,766328,corticalflow_227432_CA_lh_pial_distanceMesh.vtk
corticalflow,220721,lh,pial,4.012288139479819,0.46005338992252176,0.9201067798450435,13677,781952,corticalflow_220721_CA_lh_pial_distanceMesh.vtk
corticalflow,214019,lh,pial,5.752848660099815,0.43743913589203715,0.8748782717840743,20885,785300,corticalflow_214019_CA_lh_pial_distanceMesh.vtk
corticalflow,205826,lh,pial,7.0183363730807615,0.49749912694804393,0.9949982538960879,18150,780704,corticalflow_205826_CA_lh_pial_distanceMesh.vtk
corticalflow,212419,lh,pial,5.076772143681085,0.4330533458361384,0.8661066916722768,25349,785097,corticalflow_212419_CA_lh_pial_distanceMesh.vtk
corticalflow,214625,lh,pial,5.117506022915114,0.44119457556041053,0.8823891511208211,16056,782612,corticalflow_214625_CA_lh_pial_distanceMesh.vtk
corticalflow,207123,lh,pial,9.426976715430813,0.4924573328793801,0.9849146657587602,13409,780981,corticalflow_207123_CA_lh_pial_distanceMesh.vtk
corticalflow,214423,lh,pial,9.602860190408615,0.49603725843488145,0.9920745168697629,18108,787574,corticalflow_214423_CA_lh_pial_distanceMesh.vtk
corticalflow,211215,lh,pial,4.22773516591456,0.4683848704548249,0.9367697409096498,16548,788928,corticalflow_211215_CA_lh_pial_distanceMesh.vtk
corticalflow,212823,lh,pial,5.748150127629676,0.4626336313940079,0.9252672627880159,16916,788712,corticalflow_212823_CA_lh_pial_distanceMesh.vtk
corticalflow,207628,lh,pial,5.338436638732408,0.5057571193360241,1.0115142386720481,22558,774554,corticalflow_207628_CA_lh_pial_distanceMesh.vtk
corticalflow,211417,lh,pial,4.45676059186074,0.4441913287953445,0.888382657590689,19203,784759,corticalflow_211417_CA_lh_pial_distanceMesh.vtk
corticalflow,289555,lh,pial,8.048820394017875,0.4451700367509671,0.8903400735019342,20436,781385,corticalflow_289555_CA_lh_pial_distanceMesh.vtk
corticalflow,209228,lh,pial,4.281488778064876,0.44703508413896176,0.8940701682779235,19477,775376,corticalflow_209228_CA_lh_pial_distanceMesh.vtk
corticalflow,211922,lh,pial,3.451472014162957,0.43938499405863524,0.8787699881172705,19202,784809,corticalflow_211922_CA_lh_pial_distanceMesh.vtk
corticalflow,208024,lh,pial,4.733883184628599,0.44625600393753184,0.8925120078750637,20443,777093,corticalflow_208024_CA_lh_pial_distanceMesh.vtk
corticalflow,212116,lh,pial,5.082966375354031,0.44891612078892756,0.8978322415778551,18695,787750,corticalflow_212116_CA_lh_pial_distanceMesh.vtk
corticalflow,284646,lh,pial,5.112974984256085,0.4823687580561913,0.9647375161123826,17425,776110,corticalflow_284646_CA_lh_pial_distanceMesh.vtk
