Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
pialnn,208428,lh,pial,4.279910960731685,0.5525225206054531,1.1050450412109063,35328,200029,pialnn_208428_CA_lh_pial_distanceMesh.vtk
pialnn,205725,lh,pial,4.943863176662902,0.5746730032164615,1.149346006432923,24143,203359,pialnn_205725_CA_lh_pial_distanceMesh.vtk
pialnn,297655,lh,pial,4.321948217804097,0.5660737407252463,1.1321474814504926,28214,205278,pialnn_297655_CA_lh_pial_distanceMesh.vtk
pialnn,204420,lh,pial,3.7137670954032616,0.5460697786640258,1.0921395573280517,29788,213883,pialnn_204420_CA_lh_pial_distanceMesh.vtk
pialnn,210415,lh,pial,4.741378741985267,0.5699105104579206,1.1398210209158413,26313,215545,pialnn_210415_CA_lh_pial_distanceMesh.vtk
pialnn,208024,lh,pial,3.8860836715404545,0.5535769931008323,1.1071539862016646,29171,216610,pialnn_208024_CA_lh_pial_distanceMesh.vtk
pialnn,289555,lh,pial,3.6467214712486204,0.5337803758886774,1.0675607517773549,34078,207616,pialnn_289555_CA_lh_pial_distanceMesh.vtk
pialnn,211316,lh,pial,5.916741871301338,0.6048521689852151,1.2097043379704302,30573,217183,pialnn_211316_CA_lh_pial_distanceMesh.vtk
pialnn,293748,lh,pial,4.1721448272912385,0.5128884765300832,1.0257769530601664,29616,215378,pialnn_293748_CA_lh_pial_distanceMesh.vtk
pialnn,224022,lh,pial,3.420988635657819,0.5557108634175734,1.1114217268351467,36474,215107,pialnn_224022_CA_lh_pial_distanceMesh.vtk
pialnn,209329,lh,pial,3.8562564023924035,0.5393745099573894,1.078749019914779,33743,222537,pialnn_209329_CA_lh_pial_distanceMesh.vtk
pialnn,201818,lh,pial,4.153309127980972,0.5613430439440228,1.1226860878880456,27942,223446,pialnn_201818_CA_lh_pial_distanceMesh.vtk
pialnn,255639,lh,pial,4.7276208759762115,0.5849425676869976,1.1698851353739952,27858,225160,pialnn_255639_CA_lh_pial_distanceMesh.vtk
pialnn,204521,lh,pial,3.440250256902823,0.5206748997769002,1.0413497995538004,36927,225036,pialnn_204521_CA_lh_pial_distanceMesh.vtk
pialnn,209834,lh,pial,3.322125595267799,0.5404952925849917,1.0809905851699835,46732,225800,pialnn_209834_CA_lh_pial_distanceMesh.vtk
pialnn,205220,lh,pial,4.13547285273947,0.5252287650111414,1.0504575300222827,31818,231314,pialnn_205220_CA_lh_pial_distanceMesh.vtk
pialnn,214019,lh,pial,3.493621455970046,0.5230646145152147,1.0461292290304294,28672,225906,pialnn_214019_CA_lh_pial_distanceMesh.vtk
pialnn,203721,lh,pial,4.448285850804405,0.5903193773708342,1.1806387547416684,32209,230192,pialnn_203721_CA_lh_pial_distanceMesh.vtk
pialnn,221319,lh,pial,3.9498496383330335,0.5560118061410169,1.1120236122820337,29719,228296,pialnn_221319_CA_lh_pial_distanceMesh.vtk
pialnn,228434,lh,pial,5.605272582349299,0.5810641622158355,1.162128324431671,21591,229054,pialnn_228434_CA_lh_pial_distanceMesh.vtk
pialnn,201414,lh,pial,4.433278759115502,0.5627783235626677,1.1255566471253353,31499,234329,pialnn_201414_CA_lh_pial_distanceMesh.vtk
pialnn,250427,lh,pial,4.5304774858598975,0.5414643254896776,1.0829286509793552,25950,228061,pialnn_250427_CA_lh_pial_distanceMesh.vtk
pialnn,246133,lh,pial,4.301013616863259,0.5388803478902071,1.0777606957804142,33830,231707,pialnn_246133_CA_lh_pial_distanceMesh.vtk
pialnn,250932,lh,pial,4.19947716719051,0.5381488720694757,1.0762977441389514,25391,231111,pialnn_250932_CA_lh_pial_distanceMesh.vtk
pialnn,212318,lh,pial,3.716440958053418,0.5400478698989866,1.0800957397979731,26182,227725,pialnn_212318_CA_lh_pial_distanceMesh.vtk
pialnn,208226,lh,pial,3.6090649359996476,0.5163901841122923,1.0327803682245846,27791,238096,pialnn_208226_CA_lh_pial_distanceMesh.vtk
pialnn,209127,lh,pial,3.9667498757988504,0.5276956704980661,1.0553913409961322,27728,236964,pialnn_209127_CA_lh_pial_distanceMesh.vtk
pialnn,245333,lh,pial,4.359620438161547,0.5342504831196226,1.0685009662392453,32493,229255,pialnn_245333_CA_lh_pial_distanceMesh.vtk
pialnn,280739,lh,pial,4.079891235064009,0.5241188686970193,1.0482377373940386,36137,231570,pialnn_280739_CA_lh_pial_distanceMesh.vtk
pialnn,212217,lh,pial,3.8623469310644167,0.541847535852047,1.083695071704094,35411,233505,pialnn_212217_CA_lh_pial_distanceMesh.vtk
pialnn,237334,lh,pial,3.7003398860428605,0.5374701753913875,1.074940350782775,30632,233809,pialnn_237334_CA_lh_pial_distanceMesh.vtk
pialnn,214221,lh,pial,4.390313722487828,0.5507848790903835,1.101569758180767,36646,233992,pialnn_214221_CA_lh_pial_distanceMesh.vtk
pialnn,285345,lh,pial,4.3466902872109845,0.5387743237436127,1.0775486474872253,33647,234532,pialnn_285345_CA_lh_pial_distanceMesh.vtk
pialnn,200311,lh,pial,6.1782431618637,0.5586818536081484,1.1173637072162967,26895,248502,pialnn_200311_CA_lh_pial_distanceMesh.vtk
