Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
topofit,204622,lh,white,6.520604207324936,0.34901593490944494,0.6980318698188899,0,299195,topofit_204622_CA_lh_white_distanceMesh.vtk
topofit,204420,lh,white,4.5020716848731706,0.34448421751262415,0.6889684350252483,5,298318,topofit_204420_CA_lh_white_distanceMesh.vtk
topofit,297655,lh,white,5.480037668274817,0.3390425776685442,0.6780851553370884,6,297148,topofit_297655_CA_lh_white_distanceMesh.vtk
topofit,201818,lh,white,4.085195597609768,0.3386307499695428,0.6772614999390856,22,299285,topofit_201818_CA_lh_white_distanceMesh.vtk
topofit,204521,lh,white,4.742646699841195,0.35693919459234186,0.7138783891846837,2,296325,topofit_204521_CA_lh_white_distanceMesh.vtk
topofit,202719,lh,white,4.6413972830747365,0.3498221725039239,0.6996443450078478,10,300671,topofit_202719_CA_lh_white_distanceMesh.vtk
topofit,205119,lh,white,3.720112787084612,0.35904530479536473,0.7180906095907295,0,300146,topofit_205119_CA_lh_white_distanceMesh.vtk
topofit,203721,lh,white,4.479449824689717,0.3524304494922176,0.7048608989844352,19,299849,topofit_203721_CA_lh_white_distanceMesh.vtk
topofit,204016,lh,white,5.376989774713478,0.3485074869789184,0.6970149739578368,5,301647,topofit_204016_CA_lh_white_distanceMesh.vtk
topofit,205220,lh,white,4.164292419550924,0.34064907243574294,0.6812981448714859,49,299957,topofit_205220_CA_lh_white_distanceMesh.vtk
topofit,298051,lh,white,3.328080324238221,0.35640107954728967,0.7128021590945793,6,299675,topofit_298051_CA_lh_white_distanceMesh.vtk
topofit,202113,lh,white,5.632681865898934,0.3614162055668668,0.7228324111337336,53,300278,topofit_202113_CA_lh_white_distanceMesh.vtk
topofit,203418,lh,white,4.425318382276553,0.34333074165698807,0.6866614833139761,6,299706,topofit_203418_CA_lh_white_distanceMesh.vtk
topofit,204319,lh,white,4.703021920564171,0.35391268496694334,0.7078253699338867,14,301272,topofit_204319_CA_lh_white_distanceMesh.vtk
topofit,203923,lh,white,4.942487226789551,0.35712111087757686,0.7142422217551537,66,300860,topofit_203923_CA_lh_white_distanceMesh.vtk
topofit,295146,lh,white,3.978664010206154,0.34577444439717453,0.6915488887943491,0,299109,topofit_295146_CA_lh_white_distanceMesh.vtk
topofit,214019,lh,white,4.456628690614911,0.3379397450869039,0.6758794901738078,16,300426,topofit_214019_CA_lh_white_distanceMesh.vtk
topofit,256540,lh,white,6.150374321576847,0.3530711062525921,0.7061422125051842,0,298350,topofit_256540_CA_lh_white_distanceMesh.vtk
topofit,290136,lh,white,4.194394380762376,0.3564098603440955,0.712819720688191,4,299364,topofit_290136_CA_lh_white_distanceMesh.vtk
topofit,286650,lh,white,5.571301776096528,0.3609035861062513,0.7218071722125026,24,299977,topofit_286650_CA_lh_white_distanceMesh.vtk
topofit,280739,lh,white,5.239054940035036,0.3418513989906208,0.6837027979812416,0,299775,topofit_280739_CA_lh_white_distanceMesh.vtk
topofit,299154,lh,white,4.9776953781395,0.35724583520344594,0.7144916704068919,110,301576,topofit_299154_CA_lh_white_distanceMesh.vtk
topofit,268850,lh,white,5.592644749780385,0.35195462662157023,0.7039092532431405,45,300217,topofit_268850_CA_lh_white_distanceMesh.vtk
topofit,214625,lh,white,4.887027909502873,0.35265342174945535,0.7053068434989107,103,300005,topofit_214625_CA_lh_white_distanceMesh.vtk
topofit,211720,lh,white,6.0800876894922835,0.3674982233783384,0.7349964467566767,120,300419,topofit_211720_CA_lh_white_distanceMesh.vtk
topofit,268749,lh,white,4.026281141621495,0.37768920919092347,0.7553784183818469,0,301083,topofit_268749_CA_lh_white_distanceMesh.vtk
topofit,212318,lh,white,5.742568930127393,0.3425490740113739,0.6850981480227478,17,299007,topofit_212318_CA_lh_white_distanceMesh.vtk
topofit,285345,lh,white,3.3378466664231263,0.3454784462655901,0.6909568925311802,14,299704,topofit_285345_CA_lh_white_distanceMesh.vtk
topofit,263436,lh,white,4.572771189264111,0.35163157000073436,0.7032631400014687,7,300269,topofit_263436_CA_lh_white_distanceMesh.vtk
topofit,257542,lh,white,6.462140190401837,0.35575704009720155,0.7115140801944031,23,301055,topofit_257542_CA_lh_white_distanceMesh.vtk
topofit,285446,lh,white,5.252694167882616,0.3603346848860604,0.7206693697721208,0,299298,topofit_285446_CA_lh_white_distanceMesh.vtk
topofit,217429,lh,white,3.40156580160016,0.34828161395860935,0.6965632279172187,6,301476,topofit_217429_CA_lh_white_distanceMesh.vtk
topofit,217126,lh,white,7.8501093270402516,0.35215689367930153,0.7043137873586031,0,299887,topofit_217126_CA_lh_white_distanceMesh.vtk
topofit,221319,lh,white,3.8665739220776603,0.34651885315821196,0.6930377063164239,3,300395,topofit_221319_CA_lh_white_distanceMesh.vtk
topofit,257845,lh,white,3.18401441023809,0.3493381014295365,0.698676202859073,0,300903,topofit_257845_CA_lh_white_distanceMesh.vtk
topofit,280941,lh,white,4.898821176242119,0.35430131208082427,0.7086026241616485,62,301923,topofit_280941_CA_lh_white_distanceMesh.vtk
topofit,284646,lh,white,3.506966148566421,0.35416292679069983,0.7083258535813997,0,300752,topofit_284646_CA_lh_white_distanceMesh.vtk
topofit,214524,lh,white,6.615941004885189,0.3532087079277748,0.7064174158555496,0,300593,topofit_214524_CA_lh_white_distanceMesh.vtk
topofit,221218,lh,white,7.017792276159432,0.34921087211314533,0.6984217442262907,96,299802,topofit_221218_CA_lh_white_distanceMesh.vtk
topofit,211417,lh,white,3.335287229897158,0.3478762211983989,0.6957524423967978,35,300795,topofit_211417_CA_lh_white_distanceMesh.vtk
topofit,289555,lh,white,7.013963661654297,0.3465615162744462,0.6931230325488924,4,300938,topofit_289555_CA_lh_white_distanceMesh.vtk
topofit,212823,lh,white,4.85243015207116,0.35667330233241407,0.7133466046648281,4,300819,topofit_212823_CA_lh_white_distanceMesh.vtk
topofit,270332,lh,white,3.804789288582181,0.3747336488194918,0.7494672976389836,16,301210,topofit_270332_CA_lh_white_distanceMesh.vtk
topofit,213421,lh,white,3.8040287925070757,0.35831524478713755,0.7166304895742751,0,300559,topofit_213421_CA_lh_white_distanceMesh.vtk
topofit,212217,lh,white,3.305225965492093,0.3436048351749983,0.6872096703499966,201,299685,topofit_212217_CA_lh_white_distanceMesh.vtk
topofit,212015,lh,white,6.866863446658316,0.36436810256548413,0.7287362051309683,51,299958,topofit_212015_CA_lh_white_distanceMesh.vtk
topofit,231928,lh,white,5.44750431920763,0.3450029008174216,0.6900058016348432,18,299725,topofit_231928_CA_lh_white_distanceMesh.vtk
topofit,287248,lh,white,4.163934227883896,0.3610508064192771,0.7221016128385542,0,300550,topofit_287248_CA_lh_white_distanceMesh.vtk
topofit,211922,lh,white,5.251948760335248,0.3466646571247448,0.6933293142494896,4,300477,topofit_211922_CA_lh_white_distanceMesh.vtk
topofit,283543,lh,white,3.4510347026244657,0.3488242868496478,0.6976485736992956,35,300854,topofit_283543_CA_lh_white_distanceMesh.vtk
topofit,248339,lh,white,4.0224376311358645,0.36300008665061156,0.7260001733012231,88,299630,topofit_248339_CA_lh_white_distanceMesh.vtk
topofit,275645,lh,white,5.126733327231719,0.3420669867734585,0.684133973546917,19,300590,topofit_275645_CA_lh_white_distanceMesh.vtk
topofit,224022,lh,white,4.890960555970294,0.3386050066485913,0.6772100132971826,9,299202,topofit_224022_CA_lh_white_distanceMesh.vtk
topofit,220721,lh,white,3.5628970314420303,0.3520011907222138,0.7040023814444276,42,300700,topofit_220721_CA_lh_white_distanceMesh.vtk
topofit,251833,lh,white,4.028232234091048,0.35856832487363044,0.7171366497472609,56,300521,topofit_251833_CA_lh_white_distanceMesh.vtk
topofit,227432,lh,white,6.415528580174553,0.3594686125686687,0.7189372251373374,22,298490,topofit_227432_CA_lh_white_distanceMesh.vtk
topofit,298455,lh,white,3.2736293964819376,0.3473394055790137,0.6946788111580274,4,307496,topofit_298455_CA_lh_white_distanceMesh.vtk
topofit,255639,lh,white,4.170078108750453,0.35500642066430593,0.7100128413286119,29,301370,topofit_255639_CA_lh_white_distanceMesh.vtk
topofit,239944,lh,white,3.615024398824596,0.3478183420912966,0.6956366841825932,181,300291,topofit_239944_CA_lh_white_distanceMesh.vtk
topofit,205826,lh,white,6.064877057624814,0.372722256185914,0.745444512371828,0,299581,topofit_205826_CA_lh_white_distanceMesh.vtk
topofit,233326,lh,white,3.9441662640481536,0.35775333240861856,0.7155066648172371,0,300486,topofit_233326_CA_lh_white_distanceMesh.vtk
topofit,249947,lh,white,3.9325917172682447,0.3447266589862357,0.6894533179724714,10,300364,topofit_249947_CA_lh_white_distanceMesh.vtk
topofit,214221,lh,white,5.165829040297813,0.3523366036789364,0.7046732073578728,0,300109,topofit_214221_CA_lh_white_distanceMesh.vtk
topofit,250427,lh,white,4.172892987710158,0.3378754956857799,0.6757509913715598,0,302412,topofit_250427_CA_lh_white_distanceMesh.vtk
topofit,212419,lh,white,5.119960099355641,0.34807993355883016,0.6961598671176603,256,300866,topofit_212419_CA_lh_white_distanceMesh.vtk
topofit,237334,lh,white,3.381532898940041,0.3398166548381789,0.6796333096763578,2,301282,topofit_237334_CA_lh_white_distanceMesh.vtk
