Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
vox2cortex,209834,lh,pial,7.186982810460152,0.9127222179943426,1.8254444359886852,584,77765,vox2cortex_209834_CA_lh_pial_distanceMesh.vtk
vox2cortex,203418,lh,pial,6.772345297993516,0.7655802715386599,1.5311605430773199,1575,78659,vox2cortex_203418_CA_lh_pial_distanceMesh.vtk
vox2cortex,204420,lh,pial,6.310317522543207,0.7648716813433479,1.5297433626866959,2590,78148,vox2cortex_204420_CA_lh_pial_distanceMesh.vtk
vox2cortex,205826,lh,pial,7.840057706963541,0.8203834023794021,1.6407668047588042,381,78484,vox2cortex_205826_CA_lh_pial_distanceMesh.vtk
vox2cortex,207628,lh,pial,5.7677127376812045,0.8392002182416842,1.6784004364833685,901,78275,vox2cortex_207628_CA_lh_pial_distanceMesh.vtk
vox2cortex,204521,lh,pial,6.81222987714365,0.7624753793580679,1.5249507587161357,2779,78464,vox2cortex_204521_CA_lh_pial_distanceMesh.vtk
vox2cortex,209228,lh,pial,8.042117153233063,0.8294780307191074,1.6589560614382148,2714,78490,vox2cortex_209228_CA_lh_pial_distanceMesh.vtk
vox2cortex,208024,lh,pial,5.8991280766255825,0.7649465205195951,1.5298930410391902,3696,78735,vox2cortex_208024_CA_lh_pial_distanceMesh.vtk
vox2cortex,208125,lh,pial,6.869311903302941,0.7597798530297901,1.5195597060595802,766,78775,vox2cortex_208125_CA_lh_pial_distanceMesh.vtk
vox2cortex,204622,lh,pial,7.0684436961107275,0.9238277797542562,1.8476555595085125,230,78478,vox2cortex_204622_CA_lh_pial_distanceMesh.vtk
vox2cortex,208226,lh,pial,5.722510640792328,0.7577847538468651,1.5155695076937301,1704,78222,vox2cortex_208226_CA_lh_pial_distanceMesh.vtk
vox2cortex,209127,lh,pial,7.810813754172659,0.8083371778476625,1.616674355695325,3323,78213,vox2cortex_209127_CA_lh_pial_distanceMesh.vtk
vox2cortex,209329,lh,pial,8.31040245660474,0.8555955595060507,1.7111911190121014,2639,78624,vox2cortex_209329_CA_lh_pial_distanceMesh.vtk
vox2cortex,206222,lh,pial,6.978851769873739,0.8277244392329316,1.6554488784658632,1781,78893,vox2cortex_206222_CA_lh_pial_distanceMesh.vtk
vox2cortex,203923,lh,pial,8.68114086714055,0.8535531654791041,1.7071063309582082,2707,79012,vox2cortex_203923_CA_lh_pial_distanceMesh.vtk
vox2cortex,207426,lh,pial,7.404698397956683,0.8149061989742897,1.6298123979485795,845,79100,vox2cortex_207426_CA_lh_pial_distanceMesh.vtk
vox2cortex,209935,lh,pial,7.344467546670392,0.8320581865453098,1.6641163730906197,753,80879,vox2cortex_209935_CA_lh_pial_distanceMesh.vtk
vox2cortex,208428,lh,pial,6.5439248367142815,0.7415660162701709,1.4831320325403419,1773,78800,vox2cortex_208428_CA_lh_pial_distanceMesh.vtk
vox2cortex,207123,lh,pial,12.216633394436574,1.7380431327484902,3.4760862654969804,338,78228,vox2cortex_207123_CA_lh_pial_distanceMesh.vtk
vox2cortex,210011,lh,pial,6.010296530346267,0.7788951834677189,1.5577903669354378,297,81030,vox2cortex_210011_CA_lh_pial_distanceMesh.vtk
vox2cortex,204016,lh,pial,8.161788290466234,0.7987615016839771,1.5975230033679542,1158,79412,vox2cortex_204016_CA_lh_pial_distanceMesh.vtk
vox2cortex,205119,lh,pial,19.909326787685778,3.6558704402855686,7.311740880571137,1049,77630,vox2cortex_205119_CA_lh_pial_distanceMesh.vtk
vox2cortex,203721,lh,pial,7.710724575620367,0.8404957777718406,1.6809915555436812,3692,78915,vox2cortex_203721_CA_lh_pial_distanceMesh.vtk
vox2cortex,208327,lh,pial,7.00259957382162,0.8281637196692844,1.6563274393385687,312,79371,vox2cortex_208327_CA_lh_pial_distanceMesh.vtk
vox2cortex,202719,lh,pial,6.361391470011527,0.8091631826263576,1.6183263652527151,971,78661,vox2cortex_202719_CA_lh_pial_distanceMesh.vtk

vox2cortex,204319,lh,pial,7.8892224513067815,0.8133154738586663,1.6266309477173326,2040,78856,vox2cortex_204319_CA_lh_pial_distanceMesh.vtk
vox2cortex,205220,lh,pial,5.6965589410198545,0.7552313902883696,1.5104627805767392,2021,78695,vox2cortex_205220_CA_lh_pial_distanceMesh.vtk
vox2cortex,201818,lh,pial,9.80313183719441,0.8413543581458045,1.682708716291609,2627,78584,vox2cortex_201818_CA_lh_pial_distanceMesh.vtk
vox2cortex,202113,lh,pial,6.750264806595823,0.817695823992269,1.635391647984538,1602,78824,vox2cortex_202113_CA_lh_pial_distanceMesh.vtk
vox2cortex,201717,lh,pial,6.17220835486588,0.8275841759462239,1.6551683518924478,939,78991,vox2cortex_201717_CA_lh_pial_distanceMesh.vtk
vox2cortex,200210,lh,pial,7.013429191737078,0.8427684278087082,1.6855368556174164,1964,78870,vox2cortex_200210_CA_lh_pial_distanceMesh.vtk
